Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-06-01 02:32:54,32.3182,-86.9023,17952,630,9355.0,7967.0,1,366.12936285292113,217553.0,1844.0,3.5093582887700534,84000001,USA,4436.973110335425,10.271836007130123
Alaska,US,2020-06-01 02:32:54,61.3707,-152.4044,459,10,368.0,81.0,2,62.743918692629975,51695.0,,2.178649237472767,84000002,USA,7066.550929881279,
American Samoa,US,2020-06-01 02:32:54,-14.270999999999999,-170.132,0,0,,0.0,60,0.0,174.0,,,16,ASM,312.7190381193724,
Arizona,US,2020-06-01 02:32:54,33.7298,-111.4312,19936,907,4761.0,14268.0,4,273.8944239760936,225206.0,2998.0,4.549558587479937,84000004,USA,3094.03429203251,15.038121990369179
Arkansas,US,2020-06-01 02:32:54,34.9697,-92.3731,7253,133,5275.0,1845.0,5,240.34032693972168,129515.0,711.0,1.8337239762856752,84000005,USA,4291.6968762716215,9.802840204053496
California,US,2020-06-01 02:32:54,36.1162,-119.6816,111951,4172,,107779.0,6,283.3325778709034,1944848.0,,3.7266304008003504,84000006,USA,4922.14269999438,
Colorado,US,2020-06-01 02:32:54,39.0598,-105.3111,26364,1445,3919.0,21000.0,8,457.8087969304375,180627.0,4333.0,5.480958883325747,84000008,USA,3136.573720344187,16.43529054771659
Connecticut,US,2020-06-01 02:32:54,41.5978,-72.7554,42201,3944,7127.0,31130.0,9,1183.663475058249,250046.0,12538.0,9.345750100708512,84000009,USA,7013.348434501907,29.710196440842644
Delaware,US,2020-06-01 02:32:54,39.3185,-75.5071,9498,366,5266.0,3866.0,10,975.3903409861116,60671.0,,3.853442830069489,84000010,USA,6230.565106124276,
Diamond Princess,US,2020-06-01 02:32:54,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-06-01 02:32:54,38.8974,-77.0268,8801,466,1116.0,7219.0,11,1247.0439207140214,46483.0,,5.294852857629817,84000011,USA,6586.33593529711,
Florida,US,2020-06-01 02:32:54,27.7663,-81.6868,56163,2451,,53712.0,12,261.4940298412258,1021349.0,10453.0,4.364083115218204,84000012,USA,4755.384610585371,18.611897512597267
Georgia,US,2020-06-01 02:32:54,33.0406,-83.6431,47063,2053,,45010.0,13,443.26198551192704,465525.0,7946.0,4.362237851390689,84000013,USA,4384.538508073004,16.883751567048424
Grand Princess,US,2020-06-01 02:32:54,,,103,3,,100.0,99999,,,,2.912621359223301,84099999,USA,,
Guam,US,2020-06-01 02:32:54,13.4443,144.7937,172,5,144.0,23.0,66,104.7318074152555,6102.0,,2.9069767441860463,316,GUM,3715.5435398133095,
Hawaii,US,2020-06-01 02:32:54,21.0943,-157.4983,652,17,606.0,29.0,15,46.049360394159926,54620.0,83.0,2.607361963190184,84000015,USA,3857.6933508113734,12.730061349693253
Idaho,US,2020-06-01 02:32:54,44.2405,-114.4788,2839,82,2248.0,509.0,16,158.86383539490728,46697.0,242.0,2.8883409651285663,84000016,USA,2613.0554848312736,8.524128214159916
Illinois,US,2020-06-01 02:32:54,40.3495,-88.9861,120260,5390,,114870.0,17,949.0348703631469,898259.0,,4.481955762514552,84000017,USA,7088.633906681605,
Indiana,US,2020-06-01 02:32:54,39.8494,-86.2583,34574,2134,21704.0,10736.0,18,513.560239201963,261546.0,5285.0,6.1722681783999525,84000018,USA,3884.98948117998,15.286053103488172
Iowa,US,2020-06-01 02:32:54,42.0115,-93.2105,19552,535,11147.0,7870.0,19,619.7009892015075,156296.0,,2.736292962356792,84000019,USA,4953.804511468842,
Kansas,US,2020-06-01 02:32:54,38.5266,-96.7265,9700,215,547.0,8938.0,20,332.95415461567137,94949.0,842.0,2.216494845360825,84000020,USA,3259.140621299317,8.68041237113402
Kentucky,US,2020-06-01 02:32:54,37.6681,-84.6701,9704,431,3232.0,6041.0,21,217.20479542706013,213753.0,2272.0,4.441467436108821,84000021,USA,4784.436998858242,23.413025556471556
Louisiana,US,2020-06-01 02:32:54,31.1695,-91.8678,39916,2791,28700.0,8425.0,22,858.6312923308711,375109.0,,6.992183585529612,84000022,USA,8068.9529370413065,
Maine,US,2020-06-01 02:32:54,44.6939,-69.3819,2325,89,1552.0,684.0,23,172.96378845003616,49609.0,283.0,3.827956989247312,84000023,USA,3690.5636908463844,12.172043010752688
Maryland,US,2020-06-01 02:32:54,39.0639,-76.8021,52778,2532,3764.0,46482.0,24,872.986992364796,301881.0,8738.0,4.797453484406382,84000024,USA,4993.334083180056,16.556140816249194
Massachusetts,US,2020-06-01 02:32:54,42.2302,-71.5301,96965,6846,,90119.0,25,1406.81839384038,592853.0,9823.0,7.060279482287423,84000025,USA,8601.418091511894,10.130459444129324
Michigan,US,2020-06-01 02:32:54,43.3266,-84.5361,57397,5491,38099.0,13807.0,26,574.7253615426755,554630.0,,9.566702092443856,84000026,USA,5553.599095290942,
Minnesota,US,2020-06-01 02:32:54,45.6945,-93.9002,24850,1050,18695.0,5105.0,27,440.6315873092428,249519.0,3047.0,4.225352112676056,84000027,USA,4424.384427920119,12.261569416498993
Mississippi,US,2020-06-01 02:32:54,32.7416,-89.6787,15523,734,9401.0,5388.0,28,521.580068739838,171837.0,2272.0,4.728467435418412,84000028,USA,5773.8036637278565,14.6363460671262
Missouri,US,2020-06-01 02:32:54,38.4561,-92.2884,13438,776,,12662.0,29,218.95165206011384,193561.0,,5.774668849531182,84000029,USA,3153.780378360447,
Montana,US,2020-06-01 02:32:54,46.9219,-110.4544,515,17,456.0,42.0,30,48.185872089432976,39798.0,67.0,3.3009708737864085,84000030,USA,3723.691917311172,13.009708737864075
Nebraska,US,2020-06-01 02:32:54,41.1254,-98.2681,14101,170,,13931.0,31,728.9568694918547,101142.0,,1.205588256152046,84000031,USA,5228.576391330061,
Nevada,US,2020-06-01 02:32:54,38.3135,-117.0554,8628,417,428.0,7783.0,32,280.11568245244723,142560.0,,4.833101529902644,84000032,USA,4628.3370063074735,
New Hampshire,US,2020-06-01 02:32:54,43.4525,-71.5639,4651,245,2940.0,1466.0,33,342.0579814387028,70280.0,449.0,5.267684368952914,84000033,USA,5168.74541722469,9.653837884325952
New Jersey,US,2020-06-01 02:32:54,40.2989,-74.521,160445,11698,26560.0,122187.0,34,1806.367573762777,746145.0,17197.0,7.2909719841690315,84000034,USA,8400.462048211082,10.718314687276012
New Mexico,US,2020-06-01 02:32:54,34.8405,-106.2485,7689,356,2835.0,4498.0,35,366.69656896198967,194447.0,1317.0,4.629990896085316,84000035,USA,9273.383761861363,17.128365197034725
New York,US,2020-06-01 02:32:54,42.1657,-74.9481,370770,29784,65934.0,275052.0,36,1905.923547878972,2063825.0,89590.0,8.033012379642367,84000036,USA,10608.983105972218,24.16322787712059
North Carolina,US,2020-06-01 02:32:54,35.6301,-79.8064,28785,937,14954.0,12894.0,37,274.45432359237395,416289.0,,3.2551676220253603,84000037,USA,3969.1615742208014,
North Dakota,US,2020-06-01 02:32:54,47.5289,-99.78399999999999,2577,61,1959.0,557.0,38,338.16146192829456,72040.0,167.0,2.36709351959643,84000038,USA,9453.299075403314,6.480403570042684
Northern Mariana Islands,US,2020-06-01 02:32:54,15.0979,145.6739,22,2,15.0,5.0,69,39.895546206296245,6173.0,,9.090909090909092,580,MNP,11194.327578703032,
Ohio,US,2020-06-01 02:32:54,40.3888,-82.7649,35513,2155,,33358.0,39,303.8129539485504,390908.0,6049.0,6.068200377326613,84000039,USA,3344.209562755045,17.033199110185002
Oklahoma,US,2020-06-01 02:32:54,35.5653,-96.9289,6418,334,5492.0,592.0,40,162.19476968620694,193206.0,985.0,5.204113430975382,84000040,USA,4882.674146462029,15.347460267996258
Oregon,US,2020-06-01 02:32:54,44.571999999999996,-122.0709,4243,153,2152.0,1938.0,41,100.59897049057348,129201.0,786.0,3.605939193966533,84000041,USA,3063.2777719426317,18.52462880037709
Pennsylvania,US,2020-06-01 02:32:54,40.5908,-77.2098,76129,5555,48190.0,22384.0,42,594.6654070707292,455657.0,,7.296825125773357,84000042,USA,3559.2672357396973,
Puerto Rico,US,2020-06-01 02:32:54,18.2208,-66.5901,3776,136,,3640.0,72,128.7239961164625,3776.0,,3.601694915254237,630,PRI,128.7239961164625,
Rhode Island,US,2020-06-01 02:32:54,41.6809,-71.5118,14928,718,1252.0,12958.0,44,1409.1513657761616,154493.0,1701.0,4.809753483386924,84000044,USA,14583.602756756196,11.394694533762054
South Carolina,US,2020-06-01 02:32:54,33.8569,-80.945,11861,494,6459.0,4908.0,45,230.3682045652565,200216.0,1634.0,4.164910209931709,84000045,USA,3888.660352857044,13.776241463620265
South Dakota,US,2020-06-01 02:32:54,44.2998,-99.4388,4993,62,3837.0,1094.0,46,564.3982596684148,44128.0,432.0,1.2417384338073305,84000046,USA,4988.136671870178,8.652112958141398
Tennessee,US,2020-06-01 02:32:54,35.7478,-86.6923,22566,364,15300.0,6902.0,47,330.43527665278407,435977.0,1750.0,1.6130461756625012,84000047,USA,6384.037073883313,7.7550296906851015
Texas,US,2020-06-01 02:32:54,31.0545,-97.5635,64652,1675,42423.0,20554.0,48,222.96960040634738,951865.0,,2.5907937882818786,84000048,USA,3282.759368477199,
Utah,US,2020-06-01 02:32:54,40.15,-111.8624,9797,113,6137.0,3547.0,49,305.5872846743469,213914.0,775.0,1.1534143105032153,84000049,USA,6672.389345088114,7.910584872920282
Vermont,US,2020-06-01 02:32:54,44.0459,-72.7107,981,55,873.0,53.0,50,157.2143098676419,33970.0,,5.606523955147809,84000050,USA,5444.0062244687015,
Virgin Islands,US,2020-06-01 02:32:54,18.3358,-64.8963,69,6,61.0,2.0,78,64.32486855352947,1702.0,,8.695652173913043,850,VIR,1586.6800909870606,
Virginia,US,2020-06-01 02:32:54,37.7693,-78.17,44607,1375,5868.0,37364.0,51,522.6044251087719,315391.0,7326.0,3.0824758445983815,84000051,USA,3695.041859786148,16.423431300020177
Washington,US,2020-06-01 02:32:54,47.4009,-121.4905,21702,1118,,20584.0,53,284.99415553179796,354354.0,3480.0,5.151598930974104,84000053,USA,4653.433738333552,16.035388443461432
West Virginia,US,2020-06-01 02:32:54,38.4912,-80.9545,2010,75,1303.0,632.0,54,112.1559782763356,97622.0,,3.7313432835820897,84000054,USA,5447.2094086032,
Wisconsin,US,2020-06-01 02:32:54,44.2685,-89.6165,18403,592,11646.0,6165.0,55,316.0705643035198,268506.0,2583.0,3.216866815193175,84000055,USA,4611.576533113128,14.035755039939144
Wyoming,US,2020-06-01 02:32:54,42.756,-107.3025,903,16,658.0,229.0,56,156.02349164332648,24393.0,85.0,1.7718715393133997,84000056,USA,4214.707676252119,9.413067552602435
Alabama,US,2020-06-02 02:33:16,32.3182,-86.9023,18630,646,9355.0,8629.0,1,379.95710951147066,223523.0,1856.0,3.467525496511004,84000001,USA,4558.730702594334,9.962426194310252
Alaska,US,2020-06-02 02:33:16,61.3707,-152.4044,466,10,368.0,88.0,2,63.70079762694024,54190.0,,2.1459227467811157,84000002,USA,7407.60992146758,
